s02cl_id,hh_id,ind_id,s07sex,s09age,d12sumres
1,H0100130,P0100111,2,37,2
1,H0100130,P0100113,1,21,3
1,H0100131,P0100114,2,51,3
1,H0100131,P0100115,2,29,3
1,H0100131,P0100116,1,24,3
1,H0100132,P0100118,2,21,3
1,H0100132,P0100119,2,19,3
1,H0100133,P0100120,2,20,3
1,H0100133,P0100121,1,19,3
1,H0100133,P0100122,1,20,3
1,H0100134,P0100123,1,31,3
1,H0100134,P0100124,2,28,3
1,H0100135,P0100125,1,21,3
1,H0100135,P0100126,2,28,3
1,H0100106,P0100127,2,34,3
1,H0100107,P0100128,2,37,3
1,H0100108,P0100129,2,80,3
1,H0100109,P0100130,1,42,3
1,H0100109,P0100131,2,26,3
1,H0100110,P0100133,1,39,3
1,H0100110,P0100134,2,26,3
1,H0100111,P0100135,1,21,3
1,H0100112,P0100136,2,42,3
1,H0100112,P0100137,1,21,3
1,H0100113,P0100138,2,28,3
1,H0100112,P0100140,1,47,3
1,H0100113,P0100141,1,20,3
1,H0100108,P0100142,2,35,5
1,H0100136,P0100148,2,38,5
1,H0100131,P0100149,1,24,3
1,H0100132,P0100150,1,30,3
1,H0100131,P0100151,1,33,3
1,H0100085,P0100190,2,22,3
1,H0100085,P0100191,2,42,3
1,H0100085,P0100192,2,20,3
1,H0100085,P0100193,1,25,3
1,H0100087,P0100195,2,32,3
1,H0100087,P0100196,2,21,3
1,H0100088,P0100198,2,37,3
1,H0100089,P0100199,2,23,5
1,H0100090,P0100200,2,33,3
1,H0100090,P0100201,2,32,3
1,H0100091,P0100202,1,23,5
1,H0100087,P0100203,2,60,3
1,H0100092,P0100204,2,26,3
1,H0100093,P0100205,2,54,3
1,H0100093,P0100206,1,21,3
1,H0100094,P0100207,2,46,2
1,H0100094,P0100208,2,24,3
1,H0100094,P0100209,1,53,3
1,H0100087,P0100210,1,37,3
1,H0100094,P0100211,2,20,3
1,H0100091,P0100212,1,23,3
1,H0100087,P0100213,2,24,3
1,H0100086,P0100214,2,19,3
1,H0100151,P0100215,1,26,3
1,H0100150,P0100216,1,20,3
1,H0100148,P0100232,1,29,3
1,H0100095,P0100233,1,46,3
1,H0100148,P0100234,2,52,3
1,H0100148,P0100235,2,20,3
1,H0100149,P0100236,1,22,3
1,H0100150,P0100237,1,20,3
1,H0100150,P0100238,1,20,3
1,H0100149,P0100239,2,22,3
1,H0100151,P0100240,2,38,3
1,H0100151,P0100241,2,23,3
1,H0100152,P0100242,1,37,3
1,H0100152,P0100243,1,31,2
1,H0100150,P0100245,2,41,2
1,H0100097,P0100246,1,30,3
1,H0100097,P0100247,2,21,3
1,H0100099,P0100249,1,33,3
1,H0100100,P0100250,2,23,3
1,H0100150,P0100251,2,36,3
1,H0100150,P0100252,2,31,3
1,H0100078,P0100253,2,20,3
1,H0100078,P0100254,2,41,3
1,H0100079,P0100255,2,35,2
1,H0100079,P0100256,2,19,2
1,H0100068,P0100257,2,46,3
1,H0100076,P0100259,2,28,3
1,H0100067,P0100260,1,26,5
1,H0100043,P0100263,2,28,3
1,H0100043,P0100264,2,26,3
1,H0100044,P0100265,2,49,3
1,H0100044,P0100266,1,30,5
1,H0100044,P0100267,2,19,3
1,H0100044,P0100268,2,25,3
1,H0100044,P0100269,2,19,3
1,H0100045,P0100270,2,28,3
1,H0100045,P0100271,2,32,3
1,H0100045,P0100272,2,32,3
1,H0100046,P0100273,2,26,3
1,H0100014,P0100275,1,25,3
1,H0100014,P0100276,2,21,3
1,H0100035,P0100277,1,26,5
1,H0100015,P0100278,2,37,3
1,H0100016,P0100279,2,23,3
1,H0100016,P0100280,1,22,3
2,H0200065,P0200002,1,24,5
2,H0200066,P0200003,1,26,3
2,H0200070,P0200004,1,21,3
2,H0200045,P0200028,1,28,3
2,H0200045,P0200029,1,26,3
2,H0200048,P0200030,1,52,2
2,H0200052,P0200031,1,20,3
2,H0200048,P0200032,1,22,3
2,H0200048,P0200033,2,19,3
2,H0200043,P0200034,1,31,3
2,H0200051,P0200035,1,27,3
2,H0200052,P0200036,2,33,3
2,H0200075,P0200037,1,49,2
2,H0200051,P0200038,2,26,3
2,H0200051,P0200039,2,19,3
2,H0200051,P0200040,2,35,3
2,H0200048,P0200041,2,33,2
2,H1400149,P0200045,2,31,3
2,H0200020,P0200047,2,19,3
2,H0200003,P0200048,2,25,3
2,H0200008,P0200049,2,35,3
2,H0200004,P0200062,1,22,2
2,H0200019,P0200063,2,26,3
2,H0200004,P0200064,1,73,5
2,H0200004,P0200065,2,19,5
2,H0200001,P0200066,1,32,3
2,H0200001,P0200067,1,32,3
2,H0200001,P0200068,1,19,3
2,H0200002,P0200070,2,38,2
2,H0200003,P0200071,1,23,3
2,H0200003,P0200072,1,24,3
2,H0200003,P0200073,1,29,5
2,H0200004,P0200074,2,22,3
2,H0200004,P0200075,2,46,2
2,H0200007,P0200078,1,21,3
2,H0200007,P0200079,2,23,3
2,H0200008,P0200080,1,22,3
2,H0200008,P0200082,2,19,3
2,H0200009,P0200083,2,32,3
2,H0200010,P0200084,2,54,3
2,H0200026,P0200086,2,20,3
2,H0200027,P0200087,2,21,3
2,H0200027,P0200088,2,23,3
2,H0200028,P0200089,2,30,2
2,H0200028,P0200090,1,20,3
2,H0200029,P0200091,2,25,2
2,H0200030,P0200092,1,50,2
2,H0200031,P0200094,2,29,3
2,H0200031,P0200095,2,26,3
2,H0200031,P0200096,1,28,3
2,H0200031,P0200097,2,34,3
2,H0200030,P0200098,2,44,3
2,H0200022,P0200099,2,23,2
2,H0200127,P0200106,2,73,3
2,H0200127,P0200107,1,26,3
2,H0200128,P0200108,2,32,2
2,H0200129,P0200109,2,24,3
2,H0200130,P0200110,2,43,3
2,H0200131,P0200111,2,19,3
2,H0200131,P0200112,2,57,3
2,H0200132,P0200113,1,45,3
2,H0200132,P0200114,1,24,2
2,H0200134,P0200115,1,46,3
2,H0200134,P0200116,2,20,3
2,H0200135,P0200117,2,52,2
2,H0200136,P0200118,2,40,2
2,H0200132,P0200119,2,53,3
2,H0200137,P0200120,2,51,3
2,H0200137,P0200121,1,62,3
2,H0200137,P0200122,2,34,3
2,H0200138,P0200123,2,51,3
2,H0200139,P0200124,2,45,3
2,H0200140,P0200125,1,40,3
2,H0200141,P0200126,2,46,2
2,H0200098,P0200127,1,22,3
2,H0200099,P0200128,1,39,3
2,H0200099,P0200129,2,33,3
2,H0200099,P0200130,1,29,3
2,H0200100,P0200131,2,59,3
2,H0200100,P0200132,1,22,2
2,H0200100,P0200133,2,25,3
2,H0200101,P0200134,2,19,3
2,H0200101,P0200135,2,31,2
2,H0200102,P0200136,2,51,4
2,H0200102,P0200137,2,58,3
2,H0200119,P0200138,2,26,3
2,H0200103,P0200139,1,20,3
2,H0200103,P0200140,1,19,3
2,H0200110,P0200141,1,35,3
2,H0200106,P0200148,2,19,3
2,H0200086,P0200149,1,24,3
2,H0200087,P0200150,2,22,3
2,H0200107,P0200151,1,50,5
2,H0200107,P0200152,2,22,3
2,H0200089,P0200153,2,57,3
2,H0200108,P0200154,2,47,3
2,H0200108,P0200155,1,52,3
2,H0200109,P0200156,2,37,3
2,H0200110,P0200157,2,32,3
2,H0200111,P0200158,1,45,4
2,H0200112,P0200159,2,41,3
2,H0200093,P0200160,2,62,3
2,H0200113,P0200161,2,23,3
2,H0200113,P0200162,2,25,3
2,H0200094,P0200163,2,38,3
2,H0200115,P0200166,2,26,2
2,H0200095,P0200167,1,30,3
2,H0200116,P0200168,2,34,3
2,H0200022,P0200169,1,24,3
2,H0200023,P0200170,1,46,3
2,H0200024,P0200171,2,19,3
2,H0200024,P0200172,2,40,3
2,H0200025,P0200173,2,40,2
2,H0200026,P0200174,2,50,3
2,H0200026,P0200175,2,19,3
2,H0200026,P0200176,1,21,3
2,H0200026,P0200177,2,19,3
2,H0200026,P0200178,2,25,3
2,H0200064,P0200179,2,41,2
2,H0200043,P0200180,2,26,3
2,H0200043,P0200181,1,23,3
2,H0200044,P0200182,2,23,5
2,H0200045,P0200183,2,26,5
2,H0200046,P0200184,1,68,5
2,H0200050,P0200189,2,55,2
2,H0200141,P0200190,2,20,3
2,H0200142,P0200191,2,40,3
2,H0200142,P0200192,2,21,3
2,H0200143,P0200193,1,54,3
2,H0200143,P0200194,2,28,3
2,H0200139,P0200195,2,25,3
2,H0200143,P0200196,2,25,3
2,H0200143,P0200197,1,22,5
2,H0200137,P0200198,1,20,3
2,H0200137,P0200199,2,27,3
2,H0200131,P0200200,2,37,3
2,H0200137,P0200201,1,23,3
2,H0200137,P0200202,1,26,3
2,H0200143,P0200203,1,21,3
2,H0200139,P0200204,1,20,3
2,H0200116,P0200211,2,26,3
2,H0200117,P0200212,1,57,3
2,H0200117,P0200213,2,51,3
2,H0200117,P0200214,2,20,3
2,H0200100,P0200215,1,36,3
2,H0200100,P0200216,1,71,3
2,H0200118,P0200217,2,68,3
2,H0200088,P0200218,2,31,5
2,H0200119,P0200219,2,57,5
2,H0200096,P0200220,1,82,3
2,H0200095,P0200221,1,21,3
2,H0200112,P0200222,1,21,3
2,H0200148,P0200232,1,31,3
2,H0200148,P0200233,2,24,3
2,H0200012,P0200234,2,33,3
2,H0200012,P0200235,1,21,3
2,H0200149,P0200236,2,36,5
2,H0200149,P0200237,1,31,3
2,H1400148,P0200239,2,33,3
2,H1400149,P0200240,2,26,3
2,H1400151,P0200242,2,28,3
2,H0200017,P0200243,2,29,2
2,H0200017,P0200244,2,23,3
2,H0200018,P0200245,2,20,3
2,H0200018,P0200246,1,32,3
2,H0200019,P0200247,2,20,3
2,H0200011,P0200248,2,30,3
2,H0200020,P0200249,2,22,3
2,H0200010,P0200250,1,23,3
2,H0200010,P0200251,1,25,3
2,H0200011,P0200252,1,24,3
2,H0200064,P0200253,2,76,3
2,H0200064,P0200254,1,20,3
2,H0200065,P0200255,2,21,3
2,H0200066,P0200256,2,24,3
2,H0200067,P0200257,2,29,3
2,H0200068,P0200258,1,33,3
2,H0200068,P0200260,1,21,3
2,H0200068,P0200261,1,21,3
2,H0200071,P0200264,1,21,3
2,H0200071,P0200265,1,20,3
2,H0200071,P0200266,2,21,3
2,H0200072,P0200267,2,42,3
2,H0200073,P0200269,2,28,3
2,H0200074,P0200271,2,40,3
2,H0200074,P0200272,2,20,3
2,H0200075,P0200273,2,45,2
2,H0200085,P0200274,1,25,3
2,H0200086,P0200275,1,30,3
2,H0200086,P0200276,2,19,3
2,H0200087,P0200277,1,34,3
2,H0200088,P0200278,2,23,3
2,H0200089,P0200279,2,29,3
2,H0200090,P0200280,2,31,3
2,H0200090,P0200281,2,24,3
2,H0200091,P0200282,2,37,3
2,H0200092,P0200283,1,36,3
2,H0200092,P0200284,2,56,2
2,H0200111,P0200285,2,30,2
2,H0200093,P0200286,2,29,3
2,H0200113,P0200287,2,45,2
2,H0200113,P0200288,2,27,3
2,H0200094,P0200289,2,21,3
2,H0200091,P0200290,1,43,3
2,H0200095,P0200291,2,26,3
2,H0200095,P0200292,2,60,3
2,H0200096,P0200293,1,28,3
2,H0200097,P0200294,2,21,5
3,H0300001,P0300001,2,42,3
3,H0300002,P0300003,2,45,3
3,H0300002,P0300004,1,22,3
3,H0300002,P0300005,2,22,3
3,H0300002,P0300006,1,23,3
3,H0300002,P0300007,2,19,3
3,H0300004,P0300009,1,30,3
3,H0300004,P0300010,2,40,2
3,H0300006,P0300014,2,19,3
3,H0300007,P0300015,1,24,3
3,H0300007,P0300017,2,32,3
3,H0300007,P0300018,2,62,3
3,H0300008,P0300020,1,23,3
3,H0300008,P0300021,1,19,3
3,H0300009,P0300022,2,20,3
3,H0300009,P0300023,1,21,3
3,H0300009,P0300024,2,40,3
3,H0300010,P0300025,2,33,3
3,H0300001,P0300026,1,21,3
3,H0300002,P0300028,1,48,2
3,H0300008,P0300029,1,49,3
3,H0300043,P0300043,1,26,3
3,H0300007,P0300044,1,42,2
3,H0300036,P0300066,2,34,3
3,H0300037,P0300067,2,47,3
3,H0300037,P0300068,1,21,2
3,H0300039,P0300071,2,38,2
3,H0300039,P0300072,2,37,3
3,H0300039,P0300073,1,65,3
3,H0300039,P0300074,2,67,3
3,H0300040,P0300075,2,50,2
3,H0300041,P0300076,1,20,3
3,H0300041,P0300077,1,19,3
3,H0300041,P0300078,1,25,3
3,H0300040,P0300079,1,70,3
3,H0300094,P0300085,1,22,3
3,H0300094,P0300086,2,21,3
3,H0300097,P0300089,1,31,3
3,H0300097,P0300090,2,25,3
3,H0300098,P0300091,2,28,3
3,H0300099,P0300092,2,56,3
3,H0300099,P0300093,2,23,3
3,H0300099,P0300094,2,20,3
3,H0300087,P0300106,1,20,3
3,H0300088,P0300108,2,37,3
3,H0300089,P0300109,2,54,3
3,H0300089,P0300110,2,21,3
3,H0300073,P0300112,2,33,3
3,H0300074,P0300113,2,21,3
3,H0300086,P0300115,1,22,3
3,H0300090,P0300116,1,32,3
3,H0300091,P0300117,1,26,3
3,H0300091,P0300119,1,54,4
3,H0300074,P0300120,2,72,3
3,H0300088,P0300121,1,19,3
3,H0300089,P0300125,1,28,3
3,H0300090,P0300126,2,23,3
3,H0300085,P0300127,2,65,3
3,H0300085,P0300128,2,26,3
3,H0300086,P0300132,2,54,3
3,H0300085,P0300133,2,19,3
3,H0300086,P0300136,2,30,2
3,H0300107,P0300137,2,34,3
3,H0300106,P0300138,2,35,3
3,H0300108,P0300139,2,40,2
3,H0300109,P0300140,2,35,3
3,H0300110,P0300141,2,36,3
3,H0300110,P0300142,1,19,3
3,H0300111,P0300143,1,61,3
3,H0300111,P0300144,2,32,3
3,H0300112,P0300145,2,36,3
3,H0300112,P0300146,1,43,3
3,H0300113,P0300147,2,51,3
3,H0300072,P0300148,1,45,3
3,H0300070,P0300150,2,20,3
3,H0300069,P0300151,1,45,3
3,H0300069,P0300152,2,36,3
3,H0300070,P0300153,1,21,3
3,H0300068,P0300154,2,37,3
3,H0300067,P0300155,2,40,3
3,H0300068,P0300156,1,23,3
3,H0300068,P0300157,1,36,3
3,H0300022,P0300158,1,19,3
3,H0300021,P0300159,2,21,3
3,H0300023,P0300160,1,33,3
3,H0300018,P0300162,1,26,3
3,H0300023,P0300163,1,26,3
3,H0300072,P0300165,1,20,3
3,H0300033,P0300175,2,37,2
3,H0300117,P0300178,2,24,3
3,H0300068,P0300179,1,26,3
3,H0300118,P0300182,2,20,3
3,H0300067,P0300184,1,20,3
3,H0300118,P0300185,2,22,3
3,H0300033,P0300186,1,19,3
3,H0300071,P0300188,1,32,3
3,H0300013,P0300190,2,19,3
3,H0300014,P0300192,2,24,3
3,H0300015,P0300193,2,44,3
3,H0300017,P0300195,2,61,3
3,H0300017,P0300196,2,34,3
3,H0300017,P0300197,1,38,3
3,H0300018,P0300198,1,20,3
3,H0300018,P0300199,1,19,3
3,H0300019,P0300200,1,32,3
3,H0300017,P0300201,1,21,3
3,H0300020,P0300203,2,23,3
3,H0300021,P0300204,2,48,3
3,H0300022,P0300205,2,26,3
3,H0300014,P0300206,1,36,3
3,H0300022,P0300207,1,23,3
3,H0300136,P0300209,2,37,3
3,H0300023,P0300210,1,22,3
3,H0300113,P0300212,2,27,3
3,H0300115,P0300215,2,32,3
3,H0300116,P0300217,1,19,3
3,H0300138,P0300221,1,30,3
3,H0300137,P0300224,1,26,3
3,H0300139,P0300225,2,38,3
3,H0300139,P0300226,1,43,3
3,H0300113,P0300228,1,26,3
3,H0300128,P0300233,1,19,3
3,H0300015,P0300234,1,23,3
3,H0300129,P0300236,1,21,3
3,H0300017,P0300237,1,19,3
3,H0300130,P0300238,2,59,3
3,H0300131,P0300240,2,28,3
3,H0300134,P0300244,2,36,3
3,H0300135,P0300245,1,20,3
3,H0300023,P0300246,1,27,3
3,H0300130,P0300247,1,62,3
3,H0300136,P0300248,2,36,3
3,H0300130,P0300249,1,26,3
3,H0300128,P0300250,1,19,3
3,H0300136,P0300251,2,26,3
3,H0300131,P0300252,1,32,3
3,H0300087,P0300253,2,34,3
3,H0300086,P0300254,2,21,3
3,H0300043,P0300264,2,27,3
3,H0300044,P0300265,2,54,3
3,H0300044,P0300266,2,22,3
3,H0300044,P0300268,2,19,3
3,H0300045,P0300269,2,25,3
3,H0300099,P0300274,2,33,3
3,H0300100,P0300275,2,36,3
3,H0300100,P0300276,1,19,3
3,H0300101,P0300277,1,27,3
3,H0300102,P0300279,2,25,3
3,H0300103,P0300280,1,25,3
3,H0300103,P0300281,1,31,3
3,H0300098,P0300283,1,21,3
4,H0400001,P0400001,2,24,2
4,H0400001,P0400002,2,48,2
4,H0400022,P0400003,2,26,5
4,H0400002,P0400004,2,37,3
4,H0400023,P0400005,2,30,3
4,H0400002,P0400006,1,19,3
4,H0400003,P0400007,1,44,3
4,H0400003,P0400008,2,36,3
4,H0400004,P0400009,2,21,3
4,H0400004,P0400010,1,19,5
4,H0400005,P0400011,1,41,5
4,H0400006,P0400012,2,31,3
4,H0400028,P0400013,2,27,3
4,H0400007,P0400014,2,24,3
4,H0400008,P0400015,2,51,2
4,H0400030,P0400016,2,23,3
4,H0400030,P0400017,1,22,3
4,H0400009,P0400018,2,38,3
4,H0400010,P0400019,2,26,3
4,H0400010,P0400020,2,34,5
4,H0400011,P0400021,2,38,3
4,H0400001,P0400022,1,53,5
4,H0400022,P0400023,2,64,3
4,H0400001,P0400024,1,22,3
4,H0400002,P0400025,2,59,3
4,H0400024,P0400026,2,36,3
4,H0400024,P0400027,2,27,3
4,H0400025,P0400028,1,27,3
4,H0400025,P0400029,1,19,3
4,H0400026,P0400030,2,35,4
4,H0400005,P0400031,2,36,4
4,H0400027,P0400032,2,33,3
4,H0400028,P0400033,2,48,2
4,H0400007,P0400034,2,38,3
4,H0400029,P0400035,2,33,3
4,H0400030,P0400036,1,19,3
4,H0400031,P0400037,1,20,3
4,H0400031,P0400038,1,23,3
4,H0400004,P0400039,1,33,2
4,H0400010,P0400040,2,34,3
4,H0400010,P0400041,2,30,3
4,H0400032,P0400042,2,20,3
4,H0400033,P0400043,2,22,3
4,H0400012,P0400044,2,21,3
4,H0400012,P0400045,1,48,3
4,H0400034,P0400046,2,30,2
4,H0400014,P0400047,2,28,3
4,H0400035,P0400048,2,50,2
4,H0400012,P0400049,1,22,5
4,H0400009,P0400050,1,19,3
4,H0400029,P0400051,2,64,5
4,H0400033,P0400052,2,41,3
4,H0400033,P0400053,1,49,3
4,H0400012,P0400054,2,19,3
4,H0400012,P0400055,2,41,3
4,H0400012,P0400056,1,28,2
4,H0400013,P0400057,2,44,2
4,H0400013,P0400058,1,23,3
4,H0400014,P0400059,1,38,3
4,H0400012,P0400060,1,33,2
4,H0400027,P0400061,1,34,3
4,H0400043,P0400064,2,45,2
4,H0400043,P0400065,2,21,3
4,H0400043,P0400066,2,20,3
4,H0400043,P0400067,1,28,3
4,H0400044,P0400068,2,27,3
4,H0400044,P0400069,2,31,3
4,H0400044,P0400070,2,54,3
4,H0400044,P0400071,1,56,3
4,H0400045,P0400072,2,52,2
4,H0400045,P0400073,2,19,3
4,H0400045,P0400074,2,21,5
4,H0400046,P0400075,2,41,3
4,H0400046,P0400076,1,24,3
4,H0400047,P0400077,2,23,3
4,H0400085,P0400078,1,21,3
4,H0400085,P0400079,2,30,3
4,H0400048,P0400080,2,51,2
4,H0400049,P0400081,2,28,3
4,H0400050,P0400082,2,21,3
4,H0400050,P0400083,2,21,3
4,H0400098,P0400084,2,28,3
4,H0400066,P0400085,2,25,3
4,H0400065,P0400086,2,39,3
4,H0400065,P0400087,1,20,3
4,H0400071,P0400088,2,44,5
4,H0400071,P0400089,1,20,3
4,H0400113,P0400090,1,32,3
4,H0400073,P0400091,1,37,5
4,H0400074,P0400092,2,26,3
4,H0400074,P0400093,1,25,3
4,H0400074,P0400094,2,20,2
4,H0400074,P0400095,2,36,2
4,H0400073,P0400096,2,27,3
4,H0400116,P0400097,2,51,3
4,H0400116,P0400098,2,35,3
4,H0400075,P0400099,2,35,3
4,H0400088,P0400100,1,24,3
4,H0400089,P0400101,2,51,4
4,H0400089,P0400102,2,51,2
4,H0400089,P0400103,2,29,3
4,H0400089,P0400104,1,20,3
4,H0400089,P0400105,1,33,3
4,H0400152,P0400106,2,38,3
4,H0400152,P0400107,2,19,5
4,H0400152,P0400108,2,23,3
4,H0400151,P0400109,2,34,2
4,H0400151,P0400110,2,28,2
4,H0400151,P0400111,2,35,3
4,H0400151,P0400112,2,20,3
4,H0400150,P0400113,1,35,5
4,H0400149,P0400114,1,29,5
4,H0400149,P0400115,2,59,3
4,H0400149,P0400118,2,32,2
4,H0400148,P0400119,2,21,3
4,H0400148,P0400120,2,46,2
4,H0400097,P0400121,2,66,2
4,H0400097,P0400122,2,32,2
4,H0400097,P0400123,2,23,3
4,H0400098,P0400124,1,,5
4,H0400098,P0400125,2,21,3
4,H0400098,P0400126,2,21,3
4,H0400107,P0400128,2,31,3
4,H0400108,P0400129,2,31,3
4,H0400108,P0400130,1,19,5
4,H0400109,P0400131,2,29,2
4,H0400110,P0400132,2,44,3
4,H0400111,P0400134,2,31,2
4,H0400111,P0400135,2,19,3
4,H0400112,P0400136,2,50,3
4,H0400112,P0400137,1,19,3
4,H0400074,P0400138,2,24,4
4,H0400115,P0400139,2,24,3
4,H0400116,P0400140,2,29,3
4,H0400109,P0400141,1,38,3
4,H0400075,P0400142,1,27,3
4,H0400117,P0400143,2,43,2
4,H0400111,P0400144,1,21,3
4,H0400117,P0400145,1,19,5
4,H0400107,P0400146,1,37,3
4,H0400115,P0400147,2,52,3
4,H0400129,P0400150,2,31,2
4,H0400131,P0400153,2,36,2
4,H0400132,P0400154,2,24,3
4,H0400134,P0400157,2,34,2
4,H0400135,P0400158,2,21,3
4,H0400136,P0400160,1,78,3
4,H0400136,P0400161,2,74,3
4,H0400136,P0400162,2,19,5
4,H0400136,P0400163,1,20,5
4,H0400137,P0400166,2,32,3
4,H0400137,P0400167,2,28,3
4,H0400137,P0400168,2,24,3
4,H0400085,P0400171,1,20,3
4,H0400086,P0400172,2,24,3
4,H0400087,P0400173,2,37,3
4,H0400088,P0400174,2,41,2
4,H0400088,P0400175,2,19,3
4,H0400065,P0400191,1,40,3
4,H0400067,P0400192,1,21,3
4,H0400068,P0400193,2,34,2
4,H0400069,P0400194,2,40,2
4,H0400070,P0400195,2,35,3
4,H0400069,P0400196,2,25,3
4,H0400071,P0400197,2,42,3
4,H0400070,P0400198,1,48,3
4,H0400073,P0400199,2,39,2
4,H0400113,P0400200,1,23,5
4,H0400113,P0400201,1,22,3
4,H0400114,P0400202,1,21,5
4,H0400072,P0400203,2,26,3
4,H0400112,P0400204,1,60,2
4,H0400114,P0400205,2,46,3
4,H0400067,P0400206,1,22,3
4,H0400117,P0400207,2,50,3
4,H0400075,P0400208,2,21,3
4,H0400117,P0400209,1,19,3
4,H0400116,P0400210,1,57,3
4,H0400090,P0400232,1,19,3
4,H0400090,P0400233,2,22,5
4,H0400090,P0400234,1,22,3
4,H0400090,P0400235,1,20,5
4,H0400090,P0400236,1,23,3
4,H0400090,P0400237,1,24,5
4,H0400087,P0400238,1,37,3
4,H0400086,P0400239,1,19,3
4,H0400072,P0400241,2,19,3
4,H0400009,P0400242,1,35,3
4,H0400098,P0400243,2,19,3
4,H0400088,P0400244,2,36,3
4,H0400048,P0400245,1,34,3
4,H0400051,P0400246,2,31,3
4,H0400051,P0400247,2,29,3
4,H0400052,P0400248,1,26,5
4,H0400052,P0400249,2,61,3
4,H0400114,P0400251,1,30,2
4,H0400177,P0400252,1,49,3
4,H0400137,P0400253,2,26,3
4,H0400131,P0400254,2,25,3
4,H0400133,P0400255,2,23,3
4,H0400129,P0400256,1,21,3
4,H0400008,P0400269,1,20,3
4,H0400029,P0400270,1,35,3
4,H0400098,P0400274,2,77,3
4,H0400105,P0400275,2,20,3
4,H0400105,P0400276,2,52,3
4,H0400105,P0400277,1,20,3
4,H0400011,P0400288,1,21,3
4,H0400033,P0400289,1,22,5
4,H0400010,P0400290,1,22,3
4,H0400012,P0400294,1,21,3
5,H0500004,P0500007,1,42,3
5,H0500006,P0500012,2,33,2
5,H0500005,P0500014,1,19,3
5,H0500007,P0500015,2,37,5
5,H0500009,P0500016,2,24,3
5,H0500009,P0500017,1,19,3
5,H0500009,P0500018,1,19,3
5,H0500010,P0500019,2,42,3
5,H0500055,P0500020,2,20,5
5,H0500057,P0500021,2,30,3
5,H0500022,P0500022,1,55,2
